reward_id,order_id,cashback_amount,crediting_date,status
REW-7001,ORD-90232,156.42,2026-04-04 12:49:34,Credited
REW-7002,ORD-90319,500.0,2026-04-03 20:35:31,Credited
REW-7003,ORD-90009,58.06,2026-04-04 17:17:02,Pending
REW-7004,ORD-90449,47.14,2026-04-07 06:55:13,Credited
REW-7005,ORD-90281,500.0,2026-04-06 22:26:21,Expired
REW-7006,ORD-90257,62.29,2026-04-05 17:58:04,Credited
REW-7007,ORD-90709,64.7,2026-04-07 03:15:13,Credited
REW-7008,ORD-90593,128.19,2026-04-07 00:15:29,Credited
REW-7009,ORD-90415,500.0,2026-04-06 15:37:01,Expired
REW-7010,ORD-90218,148.13,2026-04-07 20:17:11,Pending
REW-7011,ORD-90220,62.29,2026-04-09 01:56:35,Credited
REW-7012,ORD-90309,136.51,2026-04-09 10:16:47,Credited
REW-7013,ORD-90210,424.9,2026-04-09 08:10:23,Credited
REW-7014,ORD-90615,65.2,2026-04-08 15:59:28,Credited
REW-7015,ORD-90486,245.61,2026-04-09 13:45:30,Credited
REW-7016,ORD-90272,60.78,2026-04-10 17:28:56,Credited
REW-7017,ORD-90551,274.07,2026-04-11 00:36:59,Credited
REW-7018,ORD-90018,162.16,2026-04-10 15:46:06,Expired
REW-7019,ORD-90721,349.74,2026-04-11 01:57:49,Credited
REW-7020,ORD-90646,137.4,2026-04-10 23:35:40,Credited
REW-7021,ORD-90089,45.26,2026-04-12 13:46:31,Credited
REW-7022,ORD-90302,77.0,2026-04-11 08:59:40,Credited
REW-7023,ORD-90623,25.0,2026-04-12 08:03:59,Expired
REW-7024,ORD-90442,184.84,2026-04-13 13:34:25,Expired
REW-7025,ORD-90434,76.26,2026-04-13 13:04:06,Pending
REW-7026,ORD-90057,103.99,2026-04-13 18:24:48,Credited
REW-7027,ORD-90254,500.0,2026-04-13 08:57:11,Credited
REW-7028,ORD-90202,369.71,2026-04-13 11:42:25,Pending
REW-7029,ORD-90186,500.0,2026-04-11 12:56:59,Pending
REW-7030,ORD-90020,44.53,2026-04-12 18:54:59,Credited
REW-7031,ORD-90294,43.22,2026-04-15 12:14:43,Credited
REW-7032,ORD-90577,93.57,2026-04-13 22:17:09,Credited
REW-7033,ORD-90242,119.07,2026-04-14 00:47:16,Credited
REW-7034,ORD-90528,130.57,2026-04-14 06:04:06,Credited
REW-7035,ORD-90270,103.55,2026-04-15 16:15:06,Expired
REW-7036,ORD-90211,197.15,2026-04-15 01:29:57,Credited
REW-7037,ORD-90594,165.12,2026-04-15 09:46:56,Credited
REW-7038,ORD-90548,179.12,2026-04-18 05:57:20,Credited
REW-7039,ORD-90010,500.0,2026-04-16 19:13:55,Credited
REW-7040,ORD-90263,500.0,2026-04-16 04:54:24,Credited
REW-7041,ORD-90647,43.54,2026-04-19 00:07:01,Credited
