payment_id,order_id,payment_method,gateway_name,payment_status,pg_metadata
PAY-4001,ORD-90699,UPI,Razorpay,Success,"{""bank_reference_no"": ""HDFC9892353238"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""50.236.3.200""}"
PAY-4002,ORD-90232,Debit Card,BillDesk,Success,"{""bank_reference_no"": ""HDFC9145458689"", ""error_code"": null, ""processing_fee_inr"": 21.67, ""merchant_vpa"": null, ""ip_address"": ""2.196.113.186""}"
PAY-4003,ORD-90319,Credit Card,Razorpay,Success,"{""bank_reference_no"": ""AXIS2144335983"", ""error_code"": null, ""processing_fee_inr"": 219.69, ""merchant_vpa"": null, ""ip_address"": ""56.67.234.143""}"
PAY-4004,ORD-90009,COD,Razorpay,Success,"{""bank_reference_no"": ""YESB8606346821"", ""error_code"": null, ""processing_fee_inr"": 25.0, ""merchant_vpa"": null, ""ip_address"": ""139.35.67.145""}"
PAY-4005,ORD-90182,UPI,BillDesk,Success,"{""bank_reference_no"": ""HDFC3319835182"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""147.66.195.70""}"
PAY-4006,ORD-90046,UPI,BillDesk,Success,"{""bank_reference_no"": ""HDFC6836509775"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""32.6.166.162""}"
PAY-4007,ORD-90449,Credit Card,BillDesk,Success,"{""bank_reference_no"": ""HDFC5684378987"", ""error_code"": null, ""processing_fee_inr"": 7.86, ""merchant_vpa"": null, ""ip_address"": ""45.115.162.16""}"
PAY-4008,ORD-90281,COD,Razorpay,Pending,"{""bank_reference_no"": ""PEND1872395778"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": null, ""ip_address"": ""26.79.221.159""}"
PAY-4009,ORD-90047,Credit Card,BillDesk,Success,"{""bank_reference_no"": ""ICIC8253523668"", ""error_code"": null, ""processing_fee_inr"": 27.81, ""merchant_vpa"": null, ""ip_address"": ""30.38.44.77""}"
PAY-4010,ORD-90638,Net Banking,BillDesk,Success,"{""bank_reference_no"": ""ICIC1601050402"", ""error_code"": null, ""processing_fee_inr"": 45.38, ""merchant_vpa"": null, ""ip_address"": ""158.72.174.176""}"
PAY-4011,ORD-90257,Debit Card,PayU,Success,"{""bank_reference_no"": ""AXIS2669743840"", ""error_code"": null, ""processing_fee_inr"": 15.64, ""merchant_vpa"": null, ""ip_address"": ""162.183.14.82""}"
PAY-4012,ORD-90709,Credit Card,BillDesk,Success,"{""bank_reference_no"": ""YESB8781527616"", ""error_code"": null, ""processing_fee_inr"": 13.56, ""merchant_vpa"": null, ""ip_address"": ""146.41.142.116""}"
PAY-4013,ORD-90593,UPI,PhonePe,Success,"{""bank_reference_no"": ""HDFC4096722936"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""13.92.238.93""}"
PAY-4014,ORD-90415,UPI,PayU,Pending,"{""bank_reference_no"": ""PEND3488270884"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""79.8.22.75""}"
PAY-4015,ORD-90547,COD,Razorpay,Success,"{""bank_reference_no"": ""ICIC5376842282"", ""error_code"": null, ""processing_fee_inr"": 25.0, ""merchant_vpa"": null, ""ip_address"": ""142.96.131.63""}"
PAY-4016,ORD-90208,COD,Razorpay,Success,"{""bank_reference_no"": ""ICIC1560655311"", ""error_code"": null, ""processing_fee_inr"": 25.0, ""merchant_vpa"": null, ""ip_address"": ""162.91.143.212""}"
PAY-4017,ORD-90218,UPI,Razorpay,Success,"{""bank_reference_no"": ""SBIN5712834281"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""79.171.128.12""}"
PAY-4018,ORD-90220,Credit Card,Razorpay,Success,"{""bank_reference_no"": ""HDFC5785365297"", ""error_code"": null, ""processing_fee_inr"": 14.53, ""merchant_vpa"": null, ""ip_address"": ""196.74.147.123""}"
PAY-4019,ORD-90309,Credit Card,Razorpay,Success,"{""bank_reference_no"": ""ICIC7125531606"", ""error_code"": null, ""processing_fee_inr"": 30.92, ""merchant_vpa"": null, ""ip_address"": ""22.56.208.61""}"
PAY-4020,ORD-90675,COD,BillDesk,Pending,"{""bank_reference_no"": ""PEND2392578489"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": null, ""ip_address"": ""188.73.141.54""}"
PAY-4021,ORD-90364,COD,PayU,Success,"{""bank_reference_no"": ""SBIN4406345733"", ""error_code"": null, ""processing_fee_inr"": 25.0, ""merchant_vpa"": null, ""ip_address"": ""23.206.184.118""}"
PAY-4022,ORD-90210,Debit Card,PayU,Success,"{""bank_reference_no"": ""SBIN1271535964"", ""error_code"": null, ""processing_fee_inr"": 62.49, ""merchant_vpa"": null, ""ip_address"": ""104.22.182.40""}"
PAY-4023,ORD-90615,Debit Card,PayU,Success,"{""bank_reference_no"": ""SBIN3376868109"", ""error_code"": null, ""processing_fee_inr"": 10.84, ""merchant_vpa"": null, ""ip_address"": ""211.105.41.194""}"
PAY-4024,ORD-90084,COD,Razorpay,Success,"{""bank_reference_no"": ""ICIC7925383538"", ""error_code"": null, ""processing_fee_inr"": 25.0, ""merchant_vpa"": null, ""ip_address"": ""183.0.191.32""}"
PAY-4025,ORD-90486,Debit Card,Razorpay,Success,"{""bank_reference_no"": ""AXIS1346700963"", ""error_code"": null, ""processing_fee_inr"": 29.74, ""merchant_vpa"": null, ""ip_address"": ""111.110.203.221""}"
PAY-4026,ORD-90272,COD,PhonePe,Success,"{""bank_reference_no"": ""AXIS1544998804"", ""error_code"": null, ""processing_fee_inr"": 25.0, ""merchant_vpa"": null, ""ip_address"": ""79.242.221.81""}"
PAY-4027,ORD-90705,UPI,PhonePe,Success,"{""bank_reference_no"": ""YESB7229502736"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""211.226.43.110""}"
PAY-4028,ORD-90551,UPI,PayU,Success,"{""bank_reference_no"": ""YESB3970715367"", ""error_code"": null, ""processing_fee_inr"": 0.0, ""merchant_vpa"": ""flipmyntra@icici"", ""ip_address"": ""30.222.91.127""}"
