order_id,customer_id,product_id,order_date,quantity,total_amount,order_status
ORD-90699,CUST-1194,PROD-5041,2026-04-01 00:51:32,2,1872.0,Delivered
ORD-90232,CUST-1028,PROD-5047,2026-04-01 05:58:14,1,1661.55,Delivered
ORD-90319,CUST-1085,PROD-5016,2026-04-01 12:45:36,1,12999.0,Delivered
ORD-90009,CUST-1066,PROD-5053,2026-04-01 14:03:11,2,741.0,Delivered
ORD-90182,CUST-1063,PROD-5010,2026-04-02 05:43:23,4,7600.0,Delivered
ORD-90046,CUST-1013,PROD-5049,2026-04-02 05:45:02,1,296.65,Delivered
ORD-90449,CUST-1182,PROD-5048,2026-04-02 09:09:14,1,499.0,Delivered
ORD-90281,CUST-1150,PROD-5007,2026-04-02 10:14:31,1,17999.1,Cancelled
ORD-90047,CUST-1182,PROD-5010,2026-04-02 18:36:08,1,1805.0,Delivered
ORD-90638,CUST-1196,PROD-5017,2026-04-03 08:53:32,1,3399.15,Delivered
ORD-90257,CUST-1134,PROD-5030,2026-04-03 09:37:10,2,891.0,Delivered
ORD-90709,CUST-1019,PROD-5042,2026-04-04 01:12:13,1,722.5,Delivered
ORD-90593,CUST-1179,PROD-5043,2026-04-04 13:41:48,1,1869.15,Delivered
ORD-90415,CUST-1187,PROD-5005,2026-04-04 14:49:24,2,29698.2,Cancelled
ORD-90547,CUST-1048,PROD-5057,2026-04-04 15:14:27,1,213.75,Delivered
ORD-90208,CUST-1140,PROD-5051,2026-04-04 19:00:58,5,1687.5,Delivered
ORD-90218,CUST-1155,PROD-5015,2026-04-04 20:52:16,1,1890.0,In-Transit
ORD-90220,CUST-1083,PROD-5004,2026-04-05 06:07:17,1,899.1,Delivered
ORD-90309,CUST-1055,PROD-5047,2026-04-05 06:07:23,1,1749.0,Delivered
ORD-90675,CUST-1191,PROD-5020,2026-04-05 08:45:56,1,3499.0,In-Transit
ORD-90364,CUST-1134,PROD-5007,2026-04-05 21:46:36,1,19999.0,Delivered
ORD-90210,CUST-1070,PROD-5012,2026-04-06 01:27:44,1,4490.0,In-Transit
ORD-90615,CUST-1060,PROD-5044,2026-04-06 01:33:45,1,719.1,Delivered
ORD-90084,CUST-1197,PROD-5036,2026-04-06 05:26:17,4,638.4,Delivered
ORD-90486,CUST-1177,PROD-5001,2026-04-06 07:05:06,2,2468.1,Delivered
ORD-90272,CUST-1032,PROD-5044,2026-04-06 22:26:05,1,759.05,Delivered
ORD-90705,CUST-1073,PROD-5056,2026-04-07 01:19:53,1,126.0,Delivered
ORD-90551,CUST-1034,PROD-5012,2026-04-07 01:44:46,1,4265.5,Delivered
ORD-90018,CUST-1196,PROD-5008,2026-04-07 06:08:36,2,3228.1,Cancelled
ORD-90045,CUST-1016,PROD-5034,2026-04-07 13:37:48,2,1598.0,Cancelled
ORD-90721,CUST-1075,PROD-5011,2026-04-07 20:37:55,2,3798.1,Delivered
